"","Station.Name","Year","Month","Day","Mean.Temp","Total.Precip","Chron.Date","Days.Since.Origin"
"102","HAMILTON RBG CS",2011,4,12,7,0,04/12/11,101
"103","HAMILTON RBG CS",2011,4,13,7.2,0,04/13/11,102
"104","HAMILTON RBG CS",2011,4,14,8.2,0,04/14/11,103
"105","HAMILTON RBG CS",2011,4,15,2.5,0,04/15/11,104
"106","HAMILTON RBG CS",2011,4,16,6.2,20.8,04/16/11,105
"107","HAMILTON RBG CS",2011,4,17,4,3.7,04/17/11,106
"108","HAMILTON RBG CS",2011,4,18,1.5,0,04/18/11,107
"109","HAMILTON RBG CS",2011,4,19,1.8,5.1,04/19/11,108
"110","HAMILTON RBG CS",2011,4,20,6,14.5,04/20/11,109
"111","HAMILTON RBG CS",2011,4,21,3.2,0,04/21/11,110
"112","HAMILTON RBG CS",2011,4,22,3,1.4,04/22/11,111
"113","HAMILTON RBG CS",2011,4,23,12.8,13.6,04/23/11,112
"114","HAMILTON RBG CS",2011,4,24,8.8,0,04/24/11,113
"115","HAMILTON RBG CS",2011,4,25,7.4,8.6,04/25/11,114
"116","HAMILTON RBG CS",2011,4,26,7.6,7.4,04/26/11,115
"117","HAMILTON RBG CS",2011,4,27,13.1,6.1,04/27/11,116
"118","HAMILTON RBG CS",2011,4,28,12,2.5,04/28/11,117
"119","HAMILTON RBG CS",2011,4,29,5.9,0,04/29/11,118
"120","HAMILTON RBG CS",2011,4,30,6.2,0,04/30/11,119
"121","HAMILTON RBG CS",2011,5,1,10.8,4.1,05/01/11,120
"122","HAMILTON RBG CS",2011,5,2,11.3,1.9,05/02/11,121
"123","HAMILTON RBG CS",2011,5,3,6.2,8.2,05/03/11,122
"124","HAMILTON RBG CS",2011,5,4,8.1,1.3,05/04/11,123
"125","HAMILTON RBG CS",2011,5,5,12.2,0.6,05/05/11,124
"126","HAMILTON RBG CS",2011,5,6,12.6,1.3,05/06/11,125
"127","HAMILTON RBG CS",2011,5,7,11.5,2.2,05/07/11,126
"128","HAMILTON RBG CS",2011,5,8,10.9,0.6,05/08/11,127
"129","HAMILTON RBG CS",2011,5,9,10.2,0,05/09/11,128
"130","HAMILTON RBG CS",2011,5,10,10.5,0,05/10/11,129
"131","HAMILTON RBG CS",2011,5,11,12.2,0,05/11/11,130
"132","HAMILTON RBG CS",2011,5,12,12.2,0,05/12/11,131
"133","HAMILTON RBG CS",2011,5,13,16,6,05/13/11,132
"134","HAMILTON RBG CS",2011,5,14,12.9,15.5,05/14/11,133
"135","HAMILTON RBG CS",2011,5,15,10,12.1,05/15/11,134
"136","HAMILTON RBG CS",2011,5,16,7.8,3.8,05/16/11,135
"137","HAMILTON RBG CS",2011,5,17,8,10.2,05/17/11,136
"138","HAMILTON RBG CS",2011,5,18,10.4,20.1,05/18/11,137
"139","HAMILTON RBG CS",2011,5,19,14.3,0.6,05/19/11,138
"140","HAMILTON RBG CS",2011,5,20,17.5,0,05/20/11,139
"141","HAMILTON RBG CS",2011,5,21,18.4,0,05/21/11,140
"142","HAMILTON RBG CS",2011,5,22,16.1,0,05/22/11,141
"143","HAMILTON RBG CS",2011,5,23,18.2,2.4,05/23/11,142
"144","HAMILTON RBG CS",2011,5,24,15.6,0,05/24/11,143
"145","HAMILTON RBG CS",2011,5,25,10.8,22.6,05/25/11,144
"146","HAMILTON RBG CS",2011,5,26,16.8,3.9,05/26/11,145
"147","HAMILTON RBG CS",2011,5,27,12.4,1.7,05/27/11,146
"148","HAMILTON RBG CS",2011,5,28,16.5,0.7,05/28/11,147
"149","HAMILTON RBG CS",2011,5,29,16.6,8.5,05/29/11,148
"150","HAMILTON RBG CS",2011,5,30,19.5,0.7,05/30/11,149
"151","HAMILTON RBG CS",2011,5,31,23.4,0,05/31/11,150
"152","HAMILTON RBG CS",2011,6,1,20.2,0,06/01/11,151
"153","HAMILTON RBG CS",2011,6,2,14.3,0,06/02/11,152
"154","HAMILTON RBG CS",2011,6,3,15.4,0.6,06/03/11,153
"155","HAMILTON RBG CS",2011,6,4,15,23.7,06/04/11,154
"156","HAMILTON RBG CS",2011,6,5,19.1,0,06/05/11,155
"157","HAMILTON RBG CS",2011,6,6,19.1,0,06/06/11,156
"158","HAMILTON RBG CS",2011,6,7,21.8,27,06/07/11,157
"159","HAMILTON RBG CS",2011,6,8,25.5,0.6,06/08/11,158
"160","HAMILTON RBG CS",2011,6,9,19.9,0,06/09/11,159
"161","HAMILTON RBG CS",2011,6,10,14.8,0,06/10/11,160
"162","HAMILTON RBG CS",2011,6,11,17.1,0,06/11/11,161
"163","HAMILTON RBG CS",2011,6,12,14.8,0,06/12/11,162
"164","HAMILTON RBG CS",2011,6,13,14.3,0,06/13/11,163
"165","HAMILTON RBG CS",2011,6,14,14.2,0,06/14/11,164
"166","HAMILTON RBG CS",2011,6,15,18.5,0,06/15/11,165
"167","HAMILTON RBG CS",2011,6,16,19.3,0,06/16/11,166
"168","HAMILTON RBG CS",2011,6,17,20.2,0,06/17/11,167
"169","HAMILTON RBG CS",2011,6,18,21.1,0,06/18/11,168
"170","HAMILTON RBG CS",2011,6,19,17.8,0,06/19/11,169
"171","HAMILTON RBG CS",2011,6,20,17,0,06/20/11,170
"172","HAMILTON RBG CS",2011,6,21,18.3,10.2,06/21/11,171
"173","HAMILTON RBG CS",2011,6,22,18.8,14.2,06/22/11,172
"174","HAMILTON RBG CS",2011,6,23,21.8,1.3,06/23/11,173
"175","HAMILTON RBG CS",2011,6,24,20.5,0.7,06/24/11,174
"176","HAMILTON RBG CS",2011,6,25,18.9,0,06/25/11,175
"177","HAMILTON RBG CS",2011,6,26,18.6,0,06/26/11,176
"178","HAMILTON RBG CS",2011,6,27,18.6,0,06/27/11,177
"179","HAMILTON RBG CS",2011,6,28,22.3,0.6,06/28/11,178
"180","HAMILTON RBG CS",2011,6,29,17.3,0,06/29/11,179
"181","HAMILTON RBG CS",2011,6,30,18.8,0,06/30/11,180
"182","HAMILTON RBG CS",2011,7,1,17.9,0,07/01/11,181
"183","HAMILTON RBG CS",2011,7,2,21.9,0,07/02/11,182
"184","HAMILTON RBG CS",2011,7,3,22.5,0,07/03/11,183
"185","HAMILTON RBG CS",2011,7,4,21.3,0,07/04/11,184
"186","HAMILTON RBG CS",2011,7,5,21.6,0.7,07/05/11,185
"187","HAMILTON RBG CS",2011,7,6,23.4,0,07/06/11,186
"188","HAMILTON RBG CS",2011,7,7,20.1,0,07/07/11,187
"189","HAMILTON RBG CS",2011,7,8,21,0,07/08/11,188
"190","HAMILTON RBG CS",2011,7,9,19.9,0,07/09/11,189
"191","HAMILTON RBG CS",2011,7,10,25,0,07/10/11,190
"192","HAMILTON RBG CS",2011,7,11,26.5,0,07/11/11,191
"193","HAMILTON RBG CS",2011,7,12,25,0,07/12/11,192
"194","HAMILTON RBG CS",2011,7,13,21.8,0.7,07/13/11,193
"195","HAMILTON RBG CS",2011,7,14,19.6,0,07/14/11,194
"196","HAMILTON RBG CS",2011,7,15,19.2,0.6,07/15/11,195
"197","HAMILTON RBG CS",2011,7,16,21.9,0,07/16/11,196
"198","HAMILTON RBG CS",2011,7,17,26.7,0,07/17/11,197
"199","HAMILTON RBG CS",2011,7,18,28.2,0,07/18/11,198
"200","HAMILTON RBG CS",2011,7,19,23.2,0,07/19/11,199
"201","HAMILTON RBG CS",2011,7,20,26.6,0,07/20/11,200
"202","HAMILTON RBG CS",2011,7,21,31.2,0,07/21/11,201
"203","HAMILTON RBG CS",2011,7,22,26.6,0,07/22/11,202
"204","HAMILTON RBG CS",2011,7,23,28.3,0,07/23/11,203
"205","HAMILTON RBG CS",2011,7,24,23.3,0,07/24/11,204
"206","HAMILTON RBG CS",2011,7,25,24.2,0,07/25/11,205
"207","HAMILTON RBG CS",2011,7,26,22,0,07/26/11,206
"208","HAMILTON RBG CS",2011,7,27,22.1,0,07/27/11,207
"209","HAMILTON RBG CS",2011,7,28,22.4,2,07/28/11,208
"210","HAMILTON RBG CS",2011,7,29,25.6,6.8,07/29/11,209
"211","HAMILTON RBG CS",2011,7,30,25.4,0,07/30/11,210
"212","HAMILTON RBG CS",2011,7,31,25.7,0.7,07/31/11,211
"213","HAMILTON RBG CS",2011,8,1,25.8,0,08/01/11,212
"214","HAMILTON RBG CS",2011,8,2,24.3,0,08/02/11,213
"215","HAMILTON RBG CS",2011,8,3,20.8,2.3,08/03/11,214
"216","HAMILTON RBG CS",2011,8,4,20.4,0,08/04/11,215
"217","HAMILTON RBG CS",2011,8,5,20.6,0,08/05/11,216
"218","HAMILTON RBG CS",2011,8,6,23.5,0,08/06/11,217
"219","HAMILTON RBG CS",2011,8,7,25.8,0.6,08/07/11,218
"220","HAMILTON RBG CS",2011,8,8,23.1,0,08/08/11,219
"221","HAMILTON RBG CS",2011,8,9,21.7,16.4,08/09/11,220
"222","HAMILTON RBG CS",2011,8,10,19.4,0.9,08/10/11,221
"223","HAMILTON RBG CS",2011,8,11,19.2,0.6,08/11/11,222
"224","HAMILTON RBG CS",2011,8,12,22.4,0,08/12/11,223
"225","HAMILTON RBG CS",2011,8,13,20.4,0,08/13/11,224
"226","HAMILTON RBG CS",2011,8,14,20.2,0,08/14/11,225
"227","HAMILTON RBG CS",2011,8,15,22.6,0.6,08/15/11,226
"228","HAMILTON RBG CS",2011,8,16,22.2,0.7,08/16/11,227
"229","HAMILTON RBG CS",2011,8,17,22.7,0,08/17/11,228
"230","HAMILTON RBG CS",2011,8,18,23.8,0.6,08/18/11,229
"231","HAMILTON RBG CS",2011,8,19,22.5,0,08/19/11,230
"232","HAMILTON RBG CS",2011,8,20,23.8,0,08/20/11,231
"233","HAMILTON RBG CS",2011,8,21,20,0.9,08/21/11,232
"234","HAMILTON RBG CS",2011,8,22,17.9,0.7,08/22/11,233
"235","HAMILTON RBG CS",2011,8,23,20.1,0.7,08/23/11,234
"236","HAMILTON RBG CS",2011,8,24,23.4,18.9,08/24/11,235
"237","HAMILTON RBG CS",2011,8,25,21.3,0.7,08/25/11,236
"238","HAMILTON RBG CS",2011,8,26,19,0,08/26/11,237
"239","HAMILTON RBG CS",2011,8,27,19.7,0.6,08/27/11,238
"240","HAMILTON RBG CS",2011,8,28,17.7,0,08/28/11,239
"241","HAMILTON RBG CS",2011,8,29,19.4,0.6,08/29/11,240
"242","HAMILTON RBG CS",2011,8,30,21,0,08/30/11,241
"243","HAMILTON RBG CS",2011,8,31,19.3,1,08/31/11,242
"244","HAMILTON RBG CS",2011,9,1,22.5,8.6,09/01/11,243
"245","HAMILTON RBG CS",2011,9,2,24.3,0,09/02/11,244
"246","HAMILTON RBG CS",2011,9,3,27.2,0.9,09/03/11,245
"247","HAMILTON RBG CS",2011,9,4,21.5,5.7,09/04/11,246
"248","HAMILTON RBG CS",2011,9,5,15.5,0.7,09/05/11,247
"249","HAMILTON RBG CS",2011,9,6,15,0,09/06/11,248
"250","HAMILTON RBG CS",2011,9,7,16,2.6,09/07/11,249
"251","HAMILTON RBG CS",2011,9,8,17.5,4,09/08/11,250
"252","HAMILTON RBG CS",2011,9,9,18.4,0.6,09/09/11,251
"253","HAMILTON RBG CS",2011,9,10,16.8,0,09/10/11,252
"254","HAMILTON RBG CS",2011,9,11,18,0,09/11/11,253
"255","HAMILTON RBG CS",2011,9,12,22.1,0,09/12/11,254
"256","HAMILTON RBG CS",2011,9,13,19.1,0.9,09/13/11,255
"257","HAMILTON RBG CS",2011,9,14,15.2,0.9,09/14/11,256
"258","HAMILTON RBG CS",2011,9,15,10.3,1.2,09/15/11,257
"259","HAMILTON RBG CS",2011,9,16,10.5,0,09/16/11,258
"260","HAMILTON RBG CS",2011,9,17,12.1,0,09/17/11,259
"261","HAMILTON RBG CS",2011,9,18,12.2,0.6,09/18/11,260
"262","HAMILTON RBG CS",2011,9,19,13,15.6,09/19/11,261
"263","HAMILTON RBG CS",2011,9,20,16.8,0,09/20/11,262
"264","HAMILTON RBG CS",2011,9,21,16.1,6.3,09/21/11,263
"265","HAMILTON RBG CS",2011,9,22,18.3,0.6,09/22/11,264
"266","HAMILTON RBG CS",2011,9,23,15.4,7.3,09/23/11,265
"267","HAMILTON RBG CS",2011,9,24,16.7,0,09/24/11,266
"268","HAMILTON RBG CS",2011,9,25,16.6,0,09/25/11,267
"269","HAMILTON RBG CS",2011,9,26,19.6,0,09/26/11,268
"270","HAMILTON RBG CS",2011,9,27,18.6,0.7,09/27/11,269
"271","HAMILTON RBG CS",2011,9,28,17,5.5,09/28/11,270
"272","HAMILTON RBG CS",2011,9,29,15.7,7.4,09/29/11,271
"273","HAMILTON RBG CS",2011,9,30,13.2,3.2,09/30/11,272
"274","HAMILTON RBG CS",2011,10,1,9.2,0,10/01/11,273
"275","HAMILTON RBG CS",2011,10,2,7.8,2.9,10/02/11,274
"276","HAMILTON RBG CS",2011,10,3,12.2,2.8,10/03/11,275
"277","HAMILTON RBG CS",2011,10,4,15.1,0.6,10/04/11,276
"278","HAMILTON RBG CS",2011,10,5,11.9,0,10/05/11,277
"279","HAMILTON RBG CS",2011,10,6,9.8,0.7,10/06/11,278
"280","HAMILTON RBG CS",2011,10,7,14.7,0,10/07/11,279
"281","HAMILTON RBG CS",2011,10,8,17.6,0.7,10/08/11,280
"282","HAMILTON RBG CS",2011,10,9,20.1,0,10/09/11,281
"283","HAMILTON RBG CS",2011,10,10,19,0.6,10/10/11,282
"284","HAMILTON RBG CS",2011,10,11,13.9,0,10/11/11,283
"285","HAMILTON RBG CS",2011,10,12,15.8,15.1,10/12/11,284
"286","HAMILTON RBG CS",2011,10,13,16.7,7.4,10/13/11,285
"287","HAMILTON RBG CS",2011,10,14,13.2,3,10/14/11,286
"288","HAMILTON RBG CS",2011,10,15,9.4,0.7,10/15/11,287
"289","HAMILTON RBG CS",2011,10,16,10.5,0,10/16/11,288
"290","HAMILTON RBG CS",2011,10,17,11.2,0,10/17/11,289
"291","HAMILTON RBG CS",2011,10,18,10.7,0.7,10/18/11,290
"292","HAMILTON RBG CS",2011,10,19,9.8,60.1,10/19/11,291
"293","HAMILTON RBG CS",2011,10,20,9.4,21.7,10/20/11,292
"294","HAMILTON RBG CS",2011,10,21,8,1.5,10/21/11,293
"295","HAMILTON RBG CS",2011,10,22,6,0,10/22/11,294
"296","HAMILTON RBG CS",2011,10,23,7.4,0.6,10/23/11,295
"297","HAMILTON RBG CS",2011,10,24,10.4,1.7,10/24/11,296
"298","HAMILTON RBG CS",2011,10,25,8.1,4.1,10/25/11,297
"299","HAMILTON RBG CS",2011,10,26,6.1,2.4,10/26/11,298
"300","HAMILTON RBG CS",2011,10,27,1.7,0.9,10/27/11,299
"301","HAMILTON RBG CS",2011,10,28,3.7,0,10/28/11,300
"302","HAMILTON RBG CS",2011,10,29,3.7,0,10/29/11,301
"303","HAMILTON RBG CS",2011,10,30,3.9,0.8,10/30/11,302
"304","HAMILTON RBG CS",2011,10,31,5.9,0,10/31/11,303
"305","HAMILTON RBG CS",2011,11,1,9.1,0.7,11/01/11,304
"306","HAMILTON RBG CS",2011,11,2,12.6,0,11/02/11,305
"307","HAMILTON RBG CS",2011,11,3,7.5,0,11/03/11,306
"308","HAMILTON RBG CS",2011,11,5,2,0,11/05/11,308
"309","HAMILTON RBG CS",2011,11,6,6.5,0,11/06/11,309
"310","HAMILTON RBG CS",2011,11,8,11.9,0.2,11/08/11,311
"311","HAMILTON RBG CS",2011,11,9,10.9,5.2,11/09/11,312
"312","HAMILTON RBG CS",2011,11,10,4.7,0.2,11/10/11,313
"313","HAMILTON RBG CS",2011,11,11,3,0,11/11/11,314
"314","HAMILTON RBG CS",2011,11,12,8.1,0,11/12/11,315
"315","HAMILTON RBG CS",2011,11,13,13.4,0,11/13/11,316
"316","HAMILTON RBG CS",2011,11,14,12.9,5.9,11/14/11,317
"317","HAMILTON RBG CS",2011,11,15,9.7,0.2,11/15/11,318
"318","HAMILTON RBG CS",2011,11,16,6.7,0,11/16/11,319
"319","HAMILTON RBG CS",2011,11,17,2.8,0,11/17/11,320
"320","HAMILTON RBG CS",2011,11,18,2.7,0,11/18/11,321
"321","HAMILTON RBG CS",2011,11,19,9.2,0,11/19/11,322
"322","HAMILTON RBG CS",2011,11,20,8.5,0,11/20/11,323
"323","HAMILTON RBG CS",2011,11,21,1.3,0.2,11/21/11,324
"324","HAMILTON RBG CS",2011,11,22,1.8,6.6,11/22/11,325
"325","HAMILTON RBG CS",2011,11,23,5.3,14.9,11/23/11,326
"326","HAMILTON RBG CS",2011,11,24,4,0,11/24/11,327
"327","HAMILTON RBG CS",2011,11,25,10.7,0,11/25/11,328
"328","HAMILTON RBG CS",2011,11,26,11.5,0,11/26/11,329
"329","HAMILTON RBG CS",2011,11,27,9.7,5.2,11/27/11,330
"330","HAMILTON RBG CS",2011,11,28,5.3,4.2,11/28/11,331
"331","HAMILTON RBG CS",2011,11,29,4.7,39.2,11/29/11,332
"332","HAMILTON RBG CS",2011,11,30,1.4,1.8,11/30/11,333
"333","HAMILTON RBG CS",2011,12,1,2.6,0,12/01/11,334
"334","HAMILTON RBG CS",2011,12,2,0.4,1.1,12/02/11,335
"335","HAMILTON RBG CS",2011,12,3,1.2,0.2,12/03/11,336
"336","HAMILTON RBG CS",2011,12,4,8.6,5.1,12/04/11,337
"337","HAMILTON RBG CS",2011,12,5,5.2,19,12/05/11,338
"338","HAMILTON RBG CS",2011,12,6,2,1.2,12/06/11,339
"339","HAMILTON RBG CS",2011,12,7,-0.4,0.2,12/07/11,340
"340","HAMILTON RBG CS",2011,12,8,2,0,12/08/11,341
"341","HAMILTON RBG CS",2011,12,9,-0.9,0.4,12/09/11,342
"342","HAMILTON RBG CS",2011,12,10,-4.6,0,12/10/11,343
"343","HAMILTON RBG CS",2011,12,11,-0.8,0,12/11/11,344
"344","HAMILTON RBG CS",2011,12,12,2.4,0,12/12/11,345
"345","HAMILTON RBG CS",2011,12,13,3.3,0,12/13/11,346
"346","HAMILTON RBG CS",2011,12,14,6.2,5.2,12/14/11,347
"347","HAMILTON RBG CS",2011,12,15,8,11.8,12/15/11,348
"348","HAMILTON RBG CS",2011,12,16,2.1,0.2,12/16/11,349
"349","HAMILTON RBG CS",2011,12,17,-3.9,0.2,12/17/11,350
"350","HAMILTON RBG CS",2011,12,18,-2.5,0.2,12/18/11,351
"351","HAMILTON RBG CS",2011,12,19,4.6,0,12/19/11,352
"352","HAMILTON RBG CS",2011,12,20,-1.4,0,12/20/11,353
"353","HAMILTON RBG CS",2011,12,21,4.6,1.4,12/21/11,354
"354","HAMILTON RBG CS",2011,12,22,4.3,0.5,12/22/11,355
"355","HAMILTON RBG CS",2011,12,23,-2.5,0.4,12/23/11,356
"356","HAMILTON RBG CS",2011,12,24,-3.3,0,12/24/11,357
"357","HAMILTON RBG CS",2011,12,25,3.8,0,12/25/11,358
"358","HAMILTON RBG CS",2011,12,26,3.1,0,12/26/11,359
"359","HAMILTON RBG CS",2011,12,27,2,10.8,12/27/11,360
"360","HAMILTON RBG CS",2011,12,28,-3.7,0.5,12/28/11,361
"361","HAMILTON RBG CS",2011,12,29,-4.7,2.4,12/29/11,362
"362","HAMILTON RBG CS",2011,12,30,2.1,7.4,12/30/11,363
"363","HAMILTON RBG CS",2011,12,31,4,0.7,12/31/11,364
"364","HAMILTON RBG CS",2012,1,1,4.7,3.1,01/01/12,365
"365","HAMILTON RBG CS",2012,1,2,-3.8,0.7,01/02/12,366
"366","HAMILTON RBG CS",2012,1,3,-11.9,0.2,01/03/12,367
"367","HAMILTON RBG CS",2012,1,4,-5.8,0,01/04/12,368
"368","HAMILTON RBG CS",2012,1,5,0.6,0,01/05/12,369
"369","HAMILTON RBG CS",2012,1,6,4.7,0,01/06/12,370
"370","HAMILTON RBG CS",2012,1,7,5.1,0,01/07/12,371
"371","HAMILTON RBG CS",2012,1,8,0,0,01/08/12,372
"372","HAMILTON RBG CS",2012,1,9,1.7,0,01/09/12,373
"373","HAMILTON RBG CS",2012,1,10,2.4,0,01/10/12,374
"374","HAMILTON RBG CS",2012,1,11,2.2,0,01/11/12,375
"375","HAMILTON RBG CS",2012,1,12,4.5,9.2,01/12/12,376
